link,Brand,Model,Company,picture,Price in India,1 stars,2 stars,4 stars,3 stars,5 stars,total_ratings,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Base Clock Speed,Graphics Processor,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),Dedicated Graphics,HDMI Port,Ethernet,Battery Life (up to hours),Dedicated Graphic Memory Type,Expandable RAM up to (GB),other_info
https://gadgets.ndtv.com/asus-g551vw-fi242t-5141,Asus,G551VW-FI242T,asus,https://i.gadgets360cdn.com/products/laptops/large/1525205917_635_g551vw-fi242t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 98,500",0,0,17,17,67,12,16GB,15.60-inch,No,Black,Windows 10 Home,1TB,G551VW-FI242T,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 960M,Yes,,3840x2160 pixels,802.11 ac,2.7,382.00 x 255.00 x 16.00,4,3,G Series,Yes,No,2.6 GHz,Nvidia GeForce GTX 960M,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",,6,Touchpad,3 x USB 3.0,6MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100/1000 Base T,,GDDR5,16GB,{'Web Camera': '0.3-megapixel'}
https://gadgets.ndtv.com/hp-pavilion-15-au620tx-5388,HP,Pavilion 15-au620tx,hp,https://i.gadgets360cdn.com/products/laptops/large/1525207812_635_pavilion-15-au620tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 56,950",75,0,0,0,25,4,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au620tx,Intel Core i5 7th Gen 7200U,Nvidia GeForce,Yes,,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4,1,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce,"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",,2,Touchpad,1 x USB 2.0,3MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,16GB,{'Battery Capacity (mAh)': '6000'}
https://gadgets.ndtv.com/hp-pavilion-15-au628tx-5391,HP,Pavilion 15-au628tx,hp,https://i.gadgets360cdn.com/products/laptops/large/1525207818_635_pavilion-15-au628tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 80,250",44,11,0,0,44,9,8GB,15.60-inch,No,Natural Silver,Windows 10 Home,1TB,15-au628tx,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.2,1,Pavilion,Yes,No,2.7 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",,2,Touchpad,1 x USB 2.0,4MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100/1000 Base T,9,DDR3,16GB,{'Web Camera': '0.3-megapixel'}
https://gadgets.ndtv.com/hp-15-ay006tx-5093,HP,15-ay006tx,hp,https://i.gadgets360cdn.com/products/laptops/large/1525204399_635_15-ay006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,799",0,0,33,0,67,3,4GB,15.60-inch,No,Silver,DOS,500GB,15-ay006tx,Intel Core i3 5th Gen 5005U,AMD Radeon R5 M430,Yes,,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,4,3,,Yes,No,2 GHz,AMD Radeon R5 M430,"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Yes,Standard,10/100 Base T,6,DDR3,8GB,{'Web Camera': '0.3-megapixel'}
https://gadgets.ndtv.com/xiaomi-mi-10i-price-in-india-98985,Xiaomi,Mi 10i,xiaomi,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,,0,0,0,0,0,,6GB,,,,Android 10,,,1.8GHz octa-core,,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,165.38 x 76.80 x 9.00,,,,,,,,,,,,,,,,,,,,,,,,"{'Web Camera': '2-megapixel', 'VGA Port': 'No'}"
https://gadgets.ndtv.com/lenovo-g50-45-4930,Lenovo,G50 45,lenovo,https://i.gadgets360cdn.com/products/laptops/large/1525206045_635_g50-45.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 17,990",18,8,22,13,39,277,8GB,15.60-inch,No,Silver,Windows 8.1,1TB,G50 45,AMD APU Quad Core A8 6th Gen A8 6410,AMD R5 M230,Yes,,1366x768 pixels,802.11 b/g/n/ac,2.5,384.00 x 265.00 x 25.00,4,3,G Series,Yes,No,2 GHz,AMD R5 M230,"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,Yes,2 in 1 Card Reader,Yes,Yes,Yes,10/100/1000 Base T,4,DDR3,16GB,{'Web Camera': '2-megapixel'}
https://gadgets.ndtv.com/samsung-galaxy-s21-plus-price-in-india-98938,Samsung,Galaxy S21+,samsung,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,,0,0,0,0,0,,8GB,,,,Android 11,,,2.4GHz octa-core (3x2.8GHz + 4x2.4GHz + 1x2.9GHz),,,,1080x2400 pixels,802.11 a/b/g/n/ac/Yes,,161.40 x 75.60 x 7.80,,,,,,,,,,,,,,,,,,,,,,,,{'Web Camera': '0.3-megapixel'}
https://gadgets.ndtv.com/hp-pavilion-15-ba021ax-5376,HP,Pavilion 15-ba021ax,hp,https://i.gadgets360cdn.com/products/laptops/large/1525207787_635_pavilion-15-ba021ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 32,490",24,6,22,11,37,79,4GB,15.60-inch,No,Silver,DOS,1TB,15-ba021ax,AMD APU Quad Core A10 7th Gen A10 9600P,Intel Integrated Graphics / Nvidia GeForce 940MX,No,No,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,4.1,3,Pavilion,Yes,No,2.4 GHz,Intel Integrated Graphics / Nvidia GeForce 940MX,"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,Multi format card reader,Yes,No,Standard,,4,,16GB,{'Web Camera': '0.3-megapixel'}
https://gadgets.ndtv.com/hp-pavilion-15-au009tx-5228,HP,Pavilion 15-au009tx,hp,https://i.gadgets360cdn.com/products/laptops/large/1525206219_635_pavilion-15-au009tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 72,249",16,0,21,0,63,19,8GB,15.60-inch,No,Turbo Silver,Windows 10 Home,1TB,15-au009tx,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,,1920x1080 pixels,802.11 ac,2,383.00 x 243.00 x 22.50,4.2,3,Pavilion,Yes,No,2.5 GHz,Nvidia GeForce 940MX,"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",4MB,Yes,Yes,Multi format card reader,Yes,Yes,Standard,10/100 Base T,9,DDR3,8GB,"{'Web Camera': '0.3-megapixel', 'VGA Port': 'No'}"
https://gadgets.ndtv.com/msi-ps63-modern-8rc-12957,MSI,PS63 Modern 8RC,msi,https://i.gadgets360cdn.com/products/large/1552655828_635_MSI_PS63_modern.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 102,000",0,0,0,33,67,3,16GB,15.60-inch,512GB,Carbon Gray,Windows 10,,PS63 Modern 8RC,Intel Core i7 8th Gen i7-8565U,Nvidia GeForce GTX 1050,Yes,Yes,1920x1080 pixels,802.11 a/b/g/n/ac,1.6,233.70 x 356.80 x 15.90,5,4,Prestige,Yes,No,1.8 GHz,Nvidia GeForce GTX 1050,"MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches)",,4,Trackpad,"2 x USB 3.1 Gen 1 (Type A), 1 x USB 3.1 Gen 1 (Type C), 1 x USB 3.1 Gen 2 (Type A)",,No,2 Speakers,1 Micro SD Card Reader,No,Yes,Standard,,16,GDDR5,,
