url,Picture URL,Brand,Product Name,Model,Model Name,Price in India,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Colour,Bluetooth,Type,Connectivity,Headphone Type,Model Number,Launched,Microphone,Frequency Response Range,Weight (g),Connector Size,Impedance (Ohms),Sensitivity (dB),Cord Length (Metres),Driver Size (mm),Speaker Type,Wired/Wireless,Power Source,Configuration,Features,Memory Card Slot,Impedance,Frequency Response,Height,Width,Depth,Power Output,Driver Type,Bluetooth Version,Compatible Devices,Battery Life (Hrs),Inline Remote,Foldable,Battery,Water Resistant,Built-in Fm Radio,Charging Time (Hrs),Bluetooth Range,other_info
https://gadgets.ndtv.com/zebronics-bt361-wireless-bluetooth-speaker-12798,https://i.gadgets360cdn.com/products/audio/large/1552567201_832_zebronics_bt361-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,BT361 Wireless Bluetooth Speaker,BT361,,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Mobile or Tablet or Laptop,Wireless,Battery,2.1 (3 Channel),Bluetooth,Yes,4 Ohms,20Hz-20KHz,30,28,29,,"1 Subwoofer, 2 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Controls': 'Volume Control', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '30 W', 'Driver Size': 'Subwoofer Driver:101.6 mm', 'Maximum Output RMS Center Satellite': '10 W', 'Tweeter Support': 'Yes'}"
https://gadgets.ndtv.com/zebronics-taal-wireless-bluetooth-speaker-12944,https://i.gadgets360cdn.com/products/audio/large/1552567304_832_zebronics_taal-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Taal Wireless Bluetooth Speaker (Black),Taal Wireless Bluetooth Speaker,Taal,"8,390",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,5.1 (6 Channel),Bluetooth,Yes,8 Ohms,35Hz-20KHz,,,,,"1 Subwoofer, 5 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Digital Sound Processing Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'Yes', 'Audio Codec': 'MP3', 'Subwoofer Weight': '7 kg', 'Maximum Output RMS Subwoofer': '45 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '50 dB', 'Bluetooth version': 3.0}"
https://gadgets.ndtv.com/zebronics-dhol-wireless-bluetooth-speaker-12822,https://i.gadgets360cdn.com/products/audio/large/1552567219_832_zebronics_dhol-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Dhol Wireless Bluetooth Speaker (Black),Dhol Wireless Bluetooth Speaker,Dhol,"8,990",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,5.1 (6 Channel),Bluetooth,Yes,8 Ohms,35Hz-20KHz,,,,,"1 Subwoofer, 5 Satellites",,"Mobile, Computer, Tablet",,,,Lithium-ion Battery,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Digital Sound Processing Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Maximum Output RMS Subwoofer': '40 W', 'Cable Length': '1 meter', 'Driver Size': 'Subwoofer Driver: 165.1 mm', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '95 dB', 'Distortion': '1W'}"
https://gadgets.ndtv.com/zebronics-bt9551-wireless-bluetooth-speaker-12811,https://i.gadgets360cdn.com/products/audio/large/1552567211_832_zebronics_bt9551-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,BT9551 Wireless Bluetooth Speaker,BT9551,,0,0,0,0,0,Black & Blue,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,5.1 (6 Channel),Bluetooth,Yes,4 Ohms,35Hz-20KHz,44,35,38,,"1 Subwoofer, 5 Satellites",,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '40 W', 'Cable Length': '1.5 meter', 'Driver Size': 'Subwoofer Driver: 203.2 mm', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '500 dB'}"
https://gadgets.ndtv.com/zebronics-swt9100-wired-speaker-12940,https://i.gadgets360cdn.com/products/audio/large/1552567302_832_zebronics_swt9100-wired-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,SWT9100 Wired Speaker,SWT9100,,0,0,0,0,0,Black,No,,,,,,,,,,,,,,Home Audio,Wired,AC Adapter,5.1 (6 Channel),,Yes,8 Ohms,35Hz-20Hz,31,30,295,,"1 Subwoofer, 2 Satellites",,"Mobile, Computer, Tablet",,,,,,Yes,,10 meter,"{'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Subwoofer Height': '99 mm', 'Satellite Height': '95 mm', 'Subwoofer Depth': '95 mm', 'Wall Mountable Satellite': 'No', 'Subwoofer Width': '92 mm', 'Subwoofer Weight': '3 kg', 'Maximum Output RMS Subwoofer': '30 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '95 dB'}"
https://gadgets.ndtv.com/zebronics-sw9451-wired-speaker-12938,https://i.gadgets360cdn.com/products/audio/large/1552567300_832_zebronics_sw9451-wired-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics SW9451 Wired Speaker (Black),SW9451 Wired Speaker,SW9451,"10,500",0,0,0,0,0,Black,No,,,,,,,,,,,,,,Home Audio,Wired,AC Adapter,5.1 (6 Channel),,Yes,8 Ohms,35Hz-20KHz,44,35,38,,"1 Subwoofer, 5 Satellites",,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '40 W', 'Cable Length': '1.5 meter', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '500 dB'}"
https://gadgets.ndtv.com/zebronics-halo-4-wireless-bluetooth-speaker-12837,https://i.gadgets360cdn.com/products/audio/large/1552567231_832_zebronics_halo-4-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,Halo 4 Wireless Bluetooth Speaker,Halo 4,,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,8 Ohms,150Hz-20KHz,44,27,33,115W,1,,"TV, Mobile, Computer, Laptop",,,,,,Yes,,8 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'HDMI Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '15 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '55 W', 'Cable Length': '1.5 meter', 'Maximum Output RMS Center Satellite': '15 W'}"
https://gadgets.ndtv.com/zebronics-salsa-wireless-bluetooth-speaker-12889,https://i.gadgets360cdn.com/products/audio/large/1552567268_832_zebronics_salsa-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Salsa Wireless Bluetooth Speaker (Black),Salsa Wireless Bluetooth Speaker,Salsa,"4,999",0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,5.1 (6 Channel),Bluetooth,Yes,8 Ohms,35Hz-20KHz,,,,,"1 Subwoofer, 5 Satellites",,"Mobile, Computer, Tablet",,,,Lithium-ion Battery,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '68 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Subwoofer Weight': '1 kg', 'Maximum Output RMS Subwoofer': '40 W', 'Cable Length': '1 meter', 'Maximum Output RMS Center Satellite': '10 W', 'Sensitivity': '600 dB'}"
https://gadgets.ndtv.com/zebronics-fame-wireless-bluetooth-speaker-12829,https://i.gadgets360cdn.com/products/audio/large/1552567224_832_zebronics_fame-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,Zebronics Fame Wireless Bluetooth Speaker (Black),Fame Wireless Bluetooth Speaker,Fame,519,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Mobile or Tablet or Laptop,Wireless,Battery,4.1 (5 Channel),Bluetooth,Yes,4 Ohms,20Hz-20KHz,27,18,15,60W,1,,"TV, Mobile, Computer, Laptop",,,,,,Yes,,10 meter,"{'Connector Type': 'RCA Jack', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '80 dB', 'Memory Card Supported': 'SD Card', 'Technology Used': 'Stereo Surround Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '10 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '20 W', 'Cable Length': '1 meter', 'Driver Size': 'Subwoofer Driver: 101 mm', 'Maximum Output RMS Center Satellite': '10 W'}"
https://gadgets.ndtv.com/zebronics-halo-2-wireless-bluetooth-speaker-12836,https://i.gadgets360cdn.com/products/audio/large/1552567230_832_zebronics_halo-2-wireless-bluetooth-speaker.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Zebronics,,Halo 2 Wireless Bluetooth Speaker,Halo 2,,0,0,0,0,0,Black,Yes,,,,,,,,,,,,,,Home Audio,Wireless,Battery,Stereo (2 Channel),Bluetooth,Yes,8 Ohms,150Hz-20KHz,44,27,33,,1,,"TV, Mobile, Computer, Laptop",,,,,,Yes,,8 meter,"{'Connector Type': 'RCA Jack', 'Headphone Jack': 'No', 'USB Ports': '1 USB Ports', 'Signal to Noise Ratio': '72 dB', 'Remote Control Support': 'Yes', 'Outdoor Usage': 'No', 'Memory Card Supported': 'SD Card', 'Technology Used': 'HDMI Technology', 'Power Input': '110-240V, 50 Hz', 'Subwoofer': '1', 'Maximum Output RMS Per Satellite': '15 W', 'Amplifier': 'Bulit In Amplifier', 'Wall Mountable Satellite': 'No', 'Audio Codec': 'MP3', 'Maximum Output RMS Subwoofer': '55 W', 'Cable Length': '1.5 meter', 'Maximum Output RMS Center Satellite': '15 W'}"
